Order_ID,CustomerID,Order_Date,Product_Category,Quantity,Price_Per_Unit,Ad_Budget,Total_Sales
1001,5039,2023-08-19,Books,4,1184000.0,982000.0,4736000.0
1002,5029,2023-08-29,Fashion,5,1733000.0,3513000.0,8665000.0
1003,5015,2023-02-21,Fashion,4,1767000.0,2117000.0,7068000.0
1004,5043,2023-04-06,Fashion,2,512000.0,4384000.0,1024000.0
1005,5008,2023-08-10,Home Decor,2,1820000.0,2625000.0,3640000.0
1006,5021,2023-08-19,Books,5,1204000.0,4868000.0,6020000.0
1007,5039,2023-08-25,Electronics,4,733000.0,3049000.0,2932000.0
1008,5019,2023-05-23,Gadget,1,1431000.0,1197000.0,1431000.0
1009,5023,2023-06-20,Electronics,5,989000.0,4127000.0,4945000.0
1010,5011,2023-01-29,Gadget,2,787000.0,1791000.0,1574000.0
1011,5011,2023-02-05,Electronics,2,1425000.0,1803000.0,2850000.0
1012,5024,2023-01-13,Books,5,535000.0,256000.0,2675000.0
1013,5036,2023-06-09,Gadget,4,694000.0,2789000.0,2776000.0
1014,5040,2023-11-23,Home Decor,2,897000.0,2719000.0,1794000.0
1015,5024,2023-07-06,Electronics,4,545000.0,1844000.0,2180000.0
1016,5003,2023-08-31,Electronics,2,840000.0,4482000.0,1680000.0
1017,5022,2023-03-27,Gadget,2,1164000.0,731000.0,2328000.0
1018,5002,2023-10-11,Home Decor,3,1495000.0,1717000.0,4485000.0
1019,5024,2023-03-07,Home Decor,2,1546000.0,1676000.0,3092000.0
1020,5044,2023-06-19,Books,1,1654000.0,552000.0,1654000.0
1021,5030,2023-02-14,Home Decor,5,1501000.0,2458000.0,7505000.0
1022,5038,2023-03-03,Home Decor,5,1378000.0,3470000.0,6890000.0
1023,5002,2023-05-14,Home Decor,4,513000.0,2607000.0,
1024,5021,2023-10-11,Fashion,2,830000.0,869000.0,1660000.0
1025,5033,2023-01-28,Books,1,982000.0,1949000.0,982000.0
1026,5012,2023-04-18,Electronics,4,212000.0,113000.0,848000.0
1027,5022,2023-02-13,Gadget,3,1080000.0,4355000.0,3240000.0
